caption_id,app_id,screenshot,caption
com.i_math.newsatimath_screenshot_0,com.i_math.newsatimath,https://play-lh.googleusercontent.com/UrtEt7zHMcLh1aOSQawKIZ4aJicTbOVqn-luHXylmmmZIYGYhZxIz3lkLqQnoE_De7eK,"The app offers interactive SAT math learning tools, including exercises, solutions, and categories."
com.i_math.newsatimath_screenshot_1,com.i_math.newsatimath,https://play-lh.googleusercontent.com/Nyh8mzPyfERY4pBc_yxTuw2DNYCTHqdnsA8SC51RnoMm_8MBFVv5r1hJ5Vkbx0aKQj8,"This mobile app provides a comprehensive guide to SAT math, covering linear equations, word problems, absolute value, linear functions, and more. It includes interactive quizzes, exercises, and progress indicators to help users learn and practice math skills effectively."
com.i_math.newsatimath_screenshot_2,com.i_math.newsatimath,https://play-lh.googleusercontent.com/bQsyc7jCcfeGhomNzHtfQylEajzdSafh1fp1Yd86y2FCD0mJG_UOLi6SnFfbJIwHfA,"A mobile app screenshot of a math interactive book with exercises, a solution, and interactive elements like a triangle diagram and a calculator."
cbc.resources.teachersarena.businessstudieslonghornklbform_form4notes_screenshot_0,cbc.resources.teachersarena.businessstudieslonghornklbform_form4notes,https://play-lh.googleusercontent.com/Ht9PtF-jP6v9UIIVrUTYn_BFtdVUkevqNref7Bq86qVTsjDNspGW-nM__-2hzGVxkh8,"Business Studies F1-F4 notes, chapter 3, satisfaction of human wants, introduction, human wants, characteristics of human wants, competition, solar helps save, quiz type, progress indicator, learning module, audio practice, streak tracking."
cbc.resources.teachersarena.businessstudieslonghornklbform_form4notes_screenshot_1,cbc.resources.teachersarena.businessstudieslonghornklbform_form4notes,https://play-lh.googleusercontent.com/wEC1T3j9Xbkh1b0xEauT_qiUs1KuzjLvKb-8t13uBoO2C2Kg4aWhUnlE9PXJufWgqUw,"Business Studies F1-F4 notes, renewable and non-renewable resources, leather, solar energy, hydroelectric power, wind power, quiz types, exercises, progress indicators, learning modules, audio practice, streak tracking."
cbc.resources.teachersarena.businessstudieslonghornklbform_form4notes_screenshot_2,cbc.resources.teachersarena.businessstudieslonghornklbform_form4notes,https://play-lh.googleusercontent.com/8VPDOJu-IfgwtXysINl6jzpY6DEpZ3LWomJCKAIWBcesgr1Op6N9ujbhbKgEX3zlVaQ,"""Business Studies Notes: Chain of Distribution, Channels, Costs"""
com.magoosh.toefl.flashcards.vocabulary_screenshot_0,com.magoosh.toefl.flashcards.vocabulary,https://play-lh.googleusercontent.com/DmC9AG1A2W074DrTpV6dbA_Jp_N48BDYm1MFRcGdke6xI7dL0UxUZGmFdPMxvnL6pQ,"Magosh app offers 600+ TOEFL Vocab Flashcards, helping users improve their vocabulary for the TOEFL exam."
com.magoosh.toefl.flashcards.vocabulary_screenshot_1,com.magoosh.toefl.flashcards.vocabulary,https://play-lh.googleusercontent.com/lG0KvxY9tO3_pAqtGt59dGFMgD4VYUauMfIBI0tJdUxIcK7YGM2e9bVGYhfIwSg-Aw,"The app offers quizzes, exercises, progress tracking, and audio practice for learning vocabulary."
com.magoosh.toefl.flashcards.vocabulary_screenshot_2,com.magoosh.toefl.flashcards.vocabulary,https://play-lh.googleusercontent.com/EC2c9fEptSP9cyHqDMpe4x_sLoa88isSfKLMhUzWDz6q9fWh6MKxR7FlvIinFpyJyg5w,"This mobile app provides quizzes and exercises to learn vocabulary, with progress indicators and streak tracking."
com.youth4work.SKUAST_CET_screenshot_0,com.youth4work.SKUAST_CET,https://play-lh.googleusercontent.com/77F0htHHCU_f4NieLXkC7bfOCvlWn7YMworB4xTBj-nc8SEVAR98Ml7ZNZmONyBb1Z8,"India's No.1 Exam Preparation App: Practice, Mock Papers, and Progress Tracking"
